AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Churn_Value
97,13.48847458,1308.382034,Standard,Mailed check,Yes,TV Shows,Yes,TV,23.75808451,56.56707686,20,Action,,7,Male,3,No,,LNQN935XS9,1,
2,15.42666819,30.85333638,Premium,Electronic check,No,TV Shows,No,Mobile,31.32350328,152.0381779,41,Comedy,2.597518511,3,Male,24,Yes,,S0QK1ZQ4ZB,0,
85,15.0347756,,Premium,Mailed check,Yes,Both,Yes,TV,10.55981728,69.41633741,37,Drama,4.270866363,2,Female,21,No,,X0MDEL63NZ,0,
89,15.37183294,,Standard,,No,Both,No,Mobile,30.17019924,176.5692538,41,Comedy,1.069467342,6,Female,5,No,,4T29LDSLLN,0,
77,7.780374374,599.0888268,Basic,,Yes,TV Shows,Yes,Computer,23.81261426,62.44375433,28,Action,4.792037838,4,Female,0,Yes,,318N9SO05V,1,
113,19.61499197,2216.494093,Basic,Credit card,No,TV Shows,No,Mobile,29.14664661,83.65440622,24,Fantasy,3.188020849,3,Male,8,Yes,,CBDV730UOG,0,
8,,51.21753685,Premium,Mailed check,No,Both,Yes,Tablet,31.2867576,54.57718276,47,,4.568875141,0,Female,8,No,,VCB3X9ZM3S,0,
103,10.72652907,1104.832494,Standard,Bank transfer,Yes,TV Shows,Yes,TV,20.7552644,115.0986168,15,Drama,2.087612907,9,Male,11,No,,4TXBLWD375,0,
76,8.794010017,,Basic,,No,Movies,Yes,Mobile,24.4093202,161.4506785,27,Fantasy,1.274403988,0,Male,13,No,,J2ZTONJLMC,0,
106,14.24087124,1509.532352,Standard,Credit card,No,TV Shows,No,Computer,15.28827432,59.98049838,35,Fantasy,,3,Male,13,No,Yes,0KJGVNJL8N,0,
7,12.49382046,87.45674322,Premium,,Yes,Movies,No,Tablet,14.2241837,95.42090575,36,Action,4.337422213,6,Male,4,No,,5JBY0JE8LF,0,
82,,,Standard,,Yes,TV Shows,Yes,TV,37.7917127,117.2408694,37,Comedy,,0,Female,11,Yes,,56V1FDEX23,0,
26,12.63326111,328.4647888,Basic,Bank transfer,Yes,Movies,Yes,,25.535077,155.6757681,37,Comedy,2.323419941,0,Female,20,Yes,,SCEJCH4OP4,1,
66,13.75190949,907.6260264,Basic,Bank transfer,Yes,Movies,No,Mobile,20.39577294,102.4710881,42,Fantasy,2.430666671,6,Male,4,No,,EB0W1QH7VZ,0,
37,15.41815523,,Basic,,Yes,TV Shows,Yes,Computer,38.25352608,70.51122846,20,Fantasy,4.198958694,9,Male,21,Yes,,S5WIVFDNN0,0,
72,14.91068577,1073.569375,Basic,Credit card,Yes,TV Shows,Yes,Mobile,26.2845244,38.17272233,37,Fantasy,4.39741807,0,Male,16,Yes,Yes,AZAQP5JFUX,0,
18,15.62271371,281.2088467,Standard,Bank transfer,Yes,Both,Yes,TV,27.03272315,53.38442131,35,Comedy,4.823201147,2,Female,6,No,,94GUYMPU6T,0,
105,14.77033151,1550.884809,Standard,Electronic check,No,Movies,No,TV,22.18689103,113.6952686,44,Fantasy,4.781657656,5,Female,12,Yes,,0H9S6H654F,0,
20,6.880638283,,Premium,,No,TV Shows,No,Computer,28.12046654,156.8158827,42,,3.505833738,4,Male,12,Yes,No,FH0H23YW0M,0,
45,18.51943603,833.3746214,Premium,,Yes,TV Shows,No,Computer,25.07038796,110.3599709,14,Sci-Fi,3.883595452,0,Male,7,Yes,,IUW1HLES8S,1,
15,7.465709217,111.9856383,Standard,Bank transfer,No,Both,No,Computer,20.45379313,77.54316293,0,Fantasy,1.070033825,6,Female,8,No,,E6LQV6844N,0,
74,,861.7870609,Standard,Credit card,No,Both,Yes,Computer,12.39978485,114.4051755,17,Sci-Fi,3.107525294,8,Female,6,No,,59G4MT5L0S,0,
46,9.791247181,450.3973703,Basic,Bank transfer,Yes,Both,Yes,TV,33.68800513,111.8316964,25,Comedy,2.080026036,6,Female,10,No,Yes,PRI44P2JBT,0,
62,9.796647368,607.3921368,Standard,Electronic check,No,TV Shows,No,,38.47671814,97.46887978,22,Comedy,,7,Female,2,No,,MMNA6RJYF5,0,
19,18.43597082,350.2834456,Basic,Credit card,No,Both,Yes,Mobile,2.483869799,173.7037972,22,Action,,0,Female,24,No,,HKLEITP1IA,0,
6,9.523391903,57.14035142,Premium,Credit card,No,Movies,Yes,Computer,25.2867813,44.07854951,8,Action,,0,Female,2,No,,T2ED1KDVR6,0,
23,7.725485897,177.6861756,Basic,Credit card,No,TV Shows,No,Mobile,19.59306915,32.36622394,7,Comedy,3.101683324,0,Female,20,No,,DFIYIYM3TK,0,
109,11.30551835,,Standard,Bank transfer,No,Both,Yes,TV,35.44942964,163.479972,43,Action,3.938040848,2,Male,8,Yes,,FZRJKPERVZ,0,
26,11.20942207,291.4449739,Basic,Bank transfer,No,Movies,Yes,Tablet,5.228049854,22.44377291,24,Action,3.198371705,0,Male,18,No,,OAWTET09CW,0,
119,13.50281869,,Standard,Electronic check,Yes,TV Shows,Yes,TV,12.11186239,12.49848119,26,Drama,3.455806596,7,Female,22,Yes,,KM2QC8SV7C,0,
45,7.738310174,348.2239578,Basic,Electronic check,No,TV Shows,No,TV,26.94994499,57.08792657,40,Fantasy,3.569271084,7,Female,6,Yes,,U7BU2SCCHI,0,
111,,1259.004389,Premium,Bank transfer,No,Movies,Yes,Mobile,38.25103034,142.5211296,13,Comedy,4.243280762,7,Male,15,Yes,,53S9CYHTXM,0,
104,6.732794665,,Premium,Mailed check,No,Both,Yes,Computer,21.26314603,49.51944256,43,Action,,7,,6,No,,KFXH24VCIX,0,
110,,1412.044815,Standard,Credit card,No,Both,No,Computer,27.64704282,100.4340655,43,Action,3.43880587,5,Male,8,No,,QDLZNIKBDV,0,
67,12.90821229,864.8502235,Premium,Bank transfer,Yes,Both,Yes,Computer,10.82128502,23.2449591,17,Sci-Fi,2.538593485,1,Male,20,Yes,,VOLEP42RI4,0,
105,5.236173025,549.7981676,Basic,,No,Both,No,Mobile,11.59964825,61.33455709,19,Comedy,2.135444217,9,Male,3,No,,2PV3FKTEN7,0,
45,5.062338714,227.8052421,Basic,,No,Both,No,Mobile,29.51239866,86.6019,24,Sci-Fi,1.255406302,4,Male,3,No,,BAHIPO8823,0,
12,19.64808307,235.7769968,Premium,Electronic check,Yes,Movies,Yes,Mobile,12.55071309,169.2374339,21,Fantasy,4.36547353,5,Male,22,Yes,No,XIB5D3UHRB,0,
105,9.182763472,964.1901646,Basic,Electronic check,Yes,Movies,Yes,Computer,24.43151035,91.37342353,49,Comedy,,4,Male,0,No,,G48SX3KH6A,0,
11,,,Basic,Electronic check,No,Movies,No,Computer,39.29819413,48.35721111,46,Fantasy,2.962542606,9,Female,0,Yes,,8CGM9OR85P,0,
52,11.28097221,,Standard,,No,TV Shows,No,Tablet,3.688284057,64.07735155,7,Drama,,1,Male,19,Yes,,ZXKZKRKVDN,0,
21,16.67305411,350.1341362,,Credit card,No,Both,Yes,TV,33.27123793,96.77626214,44,,3.175287541,8,Male,22,Yes,,NF9RGTY4VD,0,
16,9.322244538,149.1559126,Basic,Credit card,No,TV Shows,No,Computer,21.43677883,173.1410031,7,Fantasy,2.551480118,4,Male,8,Yes,,YA70YL4HCM,0,
25,14.6805591,367.0139776,Standard,Bank transfer,Yes,TV Shows,Yes,TV,14.51151217,122.7981833,24,Drama,,0,Male,5,No,,RR7DWPO17O,0,
92,14.77602391,1359.394199,Premium,Credit card,Yes,Movies,No,Mobile,6.164060983,96.45780219,30,Drama,1.898245887,3,Male,3,No,,HBUU9YXPD0,0,
80,,1070.716251,Basic,Bank transfer,No,TV Shows,Yes,,17.35247004,35.43558984,12,Comedy,,7,Male,0,Yes,,OXNDMG3NC7,0,
98,7.940079709,778.1278115,Standard,Credit card,Yes,TV Shows,No,Mobile,12.55439241,46.56742778,12,Comedy,2.4847051,4,Male,21,Yes,,GBJGLPXBR5,0,
22,15.20556499,334.5224299,Basic,,No,Both,No,Computer,2.724997294,159.0936013,15,Fantasy,,9,Male,11,Yes,No,PM332INSGW,0,
19,6.521996933,,Premium,Credit card,No,TV Shows,Yes,Computer,10.75791603,99.7233411,47,Drama,4.660409875,7,Male,11,No,No,KGZIUGKUB6,1,
104,8.063300807,838.5832839,,,No,Both,No,Computer,11.75347911,109.1135517,42,Comedy,4.364419159,1,Male,9,Yes,,2DBPXLKT8K,0,
85,,1294.047005,Standard,Bank transfer,No,TV Shows,Yes,Mobile,15.65530406,81.5815033,27,Drama,2.080307514,9,Female,1,No,,55VANP455P,0,
62,19.15698463,1187.733047,Standard,,Yes,Both,Yes,TV,24.93478277,18.60572468,5,Drama,4.266681696,3,Female,13,Yes,,3MBK6VMOCV,0,
1,,13.01210092,Premium,Bank transfer,Yes,Movies,No,,25.07379163,52.56780586,28,Action,4.284239137,9,Female,12,No,,UW8ES4IYMI,0,
14,14.26811173,199.7535642,Premium,Electronic check,No,Both,No,Computer,11.24856875,62.58552281,34,,2.876019105,3,Female,2,No,No,VPJBEYNWQS,1,
31,17.24528788,534.6039244,Premium,Bank transfer,Yes,Movies,Yes,TV,28.83583689,145.0161758,42,Sci-Fi,,8,Male,2,Yes,,5YJC1ZTRTJ,1,
86,11.72989866,1008.771284,Basic,Credit card,Yes,TV Shows,No,TV,3.794326865,121.4418677,21,Fantasy,,4,Male,5,No,Yes,HM6617H4JD,0,
33,11.50681974,379.7250513,Premium,Electronic check,Yes,Movies,No,,23.7729411,169.5757579,9,Drama,2.857483296,2,Female,23,Yes,,O3LM1DJEII,0,
49,8.357330395,409.5091894,,Bank transfer,Yes,Movies,Yes,TV,35.83967374,93.49504257,0,Fantasy,,5,Male,19,No,Yes,2LZWV9RQL8,0,
53,8.920732965,472.7988472,Standard,Bank transfer,No,Movies,Yes,TV,28.78212104,165.7954167,43,Comedy,4.858662581,0,Female,18,Yes,,V7E9XNI9DF,0,
63,9.631315045,606.7728478,Standard,Electronic check,Yes,Movies,Yes,Computer,9.490957151,11.837807,16,Comedy,4.322046815,1,,21,Yes,No,QHBAXJ9D6V,0,
14,7.969210909,111.5689527,Premium,Bank transfer,Yes,Both,Yes,Computer,3.251119999,15.53514151,15,Comedy,2.21026219,7,Male,14,No,,9C3BD8HX0R,1,
26,,338.2810055,Basic,Electronic check,No,Both,Yes,TV,31.79407123,116.0632224,35,Comedy,1.472555721,8,Female,7,Yes,No,DLTHWP80D3,0,
2,16.12540139,,Basic,Bank transfer,No,TV Shows,Yes,,24.74981586,11.98876502,30,,1.224832615,2,Female,4,No,,VK85180DSE,1,
15,7.745146161,116.1771924,Premium,Electronic check,No,TV Shows,No,Tablet,22.57104303,155.5207491,40,Sci-Fi,4.120521122,9,Male,19,Yes,,2P78X3TX9B,0,
80,12.76255924,1021.004739,,Electronic check,No,Both,Yes,Computer,33.81220539,146.682154,31,Fantasy,2.252178778,9,Male,22,Yes,,5CM0GI004I,0,
93,13.5808762,1263.021486,Basic,Electronic check,No,Both,No,Computer,22.00460465,114.8972345,43,Sci-Fi,4.529921641,4,Male,6,No,,W2YUKP9QMF,0,
28,,,Premium,Credit card,Yes,TV Shows,No,Mobile,37.76481999,96.31058633,30,,,2,,6,Yes,,V6CRGUK7OJ,0,
87,6.800976411,591.6849477,,,Yes,Both,No,Computer,32.51290337,67.76475082,0,Action,2.70504332,9,Male,12,Yes,,JHYZISEKTU,0,
58,,1062.151085,Premium,,Yes,TV Shows,No,Computer,6.117646472,177.97499,4,Sci-Fi,1.54595904,8,Male,17,Yes,,P3ZXPQP59E,0,
94,7.489711342,704.0328662,Standard,Electronic check,No,TV Shows,Yes,Computer,20.26466046,116.6868325,18,Drama,,4,Female,11,No,,3U07QWB58B,0,
52,,797.3032724,Basic,,Yes,TV Shows,No,TV,39.62781715,174.8835848,46,Comedy,3.42681613,8,Male,9,Yes,,2O9NN81OX5,0,
13,16.74976634,217.7469624,Standard,Electronic check,Yes,TV Shows,No,,9.426804518,173.1863189,3,Action,1.227198081,5,Male,5,No,,UY02SJT9FM,0,
20,,396.4126392,,Credit card,No,Both,No,Computer,17.0216638,160.9738879,18,Comedy,4.495737055,4,Female,8,No,,SLTZTHJFZ9,1,
103,16.51464686,1701.008626,Premium,,No,Both,No,Tablet,6.575285946,75.52050711,39,Sci-Fi,1.876240577,1,Female,18,No,No,4R07E19QKU,0,
62,,842.7120724,Basic,Credit card,No,Both,No,TV,34.49848201,65.21043318,30,Comedy,3.547800164,4,Female,24,Yes,,MH6D9EWVID,0,
23,,170.5803466,Standard,Mailed check,No,Both,Yes,TV,34.00190182,153.677047,42,Sci-Fi,2.612999483,9,Male,13,No,,7HY2MOSDW6,0,
65,18.27930491,1188.154819,Standard,,Yes,Movies,No,Mobile,31.13827235,141.4319072,30,Fantasy,,9,Male,16,No,,ZTOJZGRVC4,0,
75,13.3089809,998.1735677,Basic,Bank transfer,No,Both,Yes,Mobile,24.31852704,119.3369053,47,,3.022918582,5,,17,No,,A931RZPGP2,0,
43,7.680618305,330.2665871,Standard,Bank transfer,No,Both,No,,18.28666522,149.801906,39,,1.428813784,0,Male,19,No,,R4SINC9IQZ,0,
45,14.30348706,,Premium,Credit card,Yes,Movies,Yes,Tablet,32.53521491,65.256694,15,Drama,,6,Female,5,No,,7NXSSI06MN,0,
48,18.78044511,901.4613652,Standard,Credit card,Yes,Movies,Yes,Computer,22.30395547,29.89036404,1,Drama,1.446495965,2,Male,1,No,,DM6BMTS1AS,0,
19,,168.5997531,Basic,Electronic check,No,Both,No,Computer,38.61154742,143.3053052,8,Comedy,1.389561922,8,Female,22,Yes,,KBG5OB2YIW,0,
39,,683.9517953,Premium,Credit card,Yes,Both,Yes,Mobile,11.56066885,13.48505934,32,Fantasy,1.049661731,9,Male,14,Yes,Yes,RSZFX28GG3,1,
44,,752.6633455,Premium,Electronic check,Yes,Movies,No,Tablet,35.68046041,49.35460187,48,Fantasy,,9,Male,20,Yes,,4PCP1V37SI,0,
31,5.463793812,169.3776082,Standard,Bank transfer,Yes,Both,Yes,Computer,10.31299563,92.14099147,5,Comedy,4.626314254,5,Female,24,Yes,,SCFG260GEA,0,
71,5.084423905,360.9940972,Standard,Electronic check,No,Movies,No,Mobile,8.17409381,70.25383064,25,Fantasy,1.246599216,2,Female,14,Yes,,NRLC9JJS9S,0,
5,,57.24876997,Premium,Bank transfer,No,Both,Yes,Computer,15.57998223,115.7088885,40,Action,,2,Male,17,No,,B6SIIXSQOS,0,
43,8.865387684,381.2116704,Premium,,No,Movies,No,Mobile,35.37772494,115.1053342,37,Comedy,,8,Male,3,No,,J647T7HQQL,0,
64,6.190149536,,Premium,Electronic check,Yes,Movies,Yes,Computer,26.09480037,90.24929986,44,Fantasy,1.916088876,0,Male,1,Yes,,AH3L1MRZRR,0,
80,,,Premium,,No,TV Shows,Yes,Computer,1.566231259,99.92343723,23,Comedy,2.388435615,0,Male,13,Yes,,4PX89Y1RQA,0,
106,18.9510544,2008.811767,Basic,Electronic check,Yes,Both,No,TV,34.25790597,139.0189279,21,Drama,4.202215048,5,Female,18,Yes,Yes,3FDWNZRH2D,0,
46,10.1288361,465.9264606,Premium,Credit card,No,TV Shows,No,TV,33.53672268,37.76650424,18,Drama,4.753683293,9,Male,9,No,,Y7Q0UE0U1M,0,
9,,154.491589,,Electronic check,No,Both,No,Computer,16.97958086,150.5060986,41,Drama,1.731258013,6,Male,0,No,,HN78JG14TS,0,
100,,1142.941819,Premium,Electronic check,No,TV Shows,Yes,TV,10.594692,33.21299684,31,Action,1.05060439,0,Male,16,No,No,74YHNQ6G75,0,
98,19.02152489,,Basic,Bank transfer,Yes,Both,No,,1.380466745,91.87070079,17,Sci-Fi,,9,Female,13,No,No,RLNIID3XWT,1,
39,7.520022143,293.2808636,Premium,Electronic check,Yes,Both,Yes,TV,30.17973629,81.08144912,26,Fantasy,4.897123984,0,,4,Yes,,87D7OLH270,0,
70,10.48200348,733.7402439,Standard,,Yes,TV Shows,No,Mobile,11.56720495,42.7779051,1,Fantasy,2.573195943,8,Male,5,Yes,,P6L806SMU4,1,
29,9.610559156,278.7062155,Standard,Electronic check,No,Both,No,Computer,25.45759866,99.44781816,15,Fantasy,2.682192855,5,Male,9,Yes,,FCTLMSLMQJ,0,
92,10.36450252,953.5342316,Premium,Credit card,Yes,TV Shows,No,Mobile,29.72783899,39.91319919,13,Comedy,1.293567529,0,Female,18,Yes,,G3AKTVZVV9,0,
109,7.418513932,808.6180185,Basic,Electronic check,Yes,Movies,Yes,,7.686830378,131.4425295,30,Fantasy,,1,Male,7,Yes,Yes,7L6GJZ94PQ,0,
92,14.450434,1329.439928,Premium,Electronic check,No,Both,Yes,Mobile,9.640879896,86.48715223,13,Sci-Fi,4.273449538,8,Female,17,No,,Z8H53DC791,0,
16,5.173754551,82.78007282,Premium,Credit card,Yes,Both,No,Mobile,4.833288618,127.7095021,13,Sci-Fi,2.183360529,3,Female,10,Yes,,MSSFBJYVA5,0,
47,8.922393724,419.352505,Standard,Mailed check,No,Movies,No,Tablet,30.65890865,8.829009067,28,Comedy,,6,Male,8,Yes,Yes,UMFLMSRD0Q,0,
40,13.60775444,544.3101775,Standard,Electronic check,Yes,TV Shows,Yes,Tablet,31.42253253,39.23633287,13,Sci-Fi,3.538737385,0,Male,18,No,No,YSBXJUEX0T,0,
81,10.97571433,889.0328609,Premium,Bank transfer,Yes,TV Shows,Yes,Computer,18.35221026,86.23345361,19,Sci-Fi,3.020792195,1,Male,19,No,,4RAT7BS0L4,0,
118,10.47751675,,Basic,,Yes,Both,Yes,Computer,28.85581405,144.7643052,33,Comedy,4.928149986,5,Male,7,No,,QMSBTHUBOD,0,
13,18.40901405,239.3171827,Standard,Credit card,No,TV Shows,Yes,TV,18.44881545,69.85047784,21,Fantasy,4.091824055,0,,2,No,,1LI3AQJFP6,0,
103,16.19821069,,Standard,Bank transfer,Yes,Movies,No,,32.12117345,128.9273066,16,,3.88800564,5,Male,16,Yes,,P0UW71OPWI,0,
82,14.21546049,1165.66776,Premium,Electronic check,No,Movies,Yes,Computer,14.40298251,153.3021034,1,Action,4.145493422,3,Male,15,No,,4C9VVJ76OX,0,
2,6.895624252,13.7912485,Basic,Electronic check,No,TV Shows,Yes,,30.04251275,124.1554327,22,Fantasy,,0,Male,16,No,No,D36302KBBA,1,
86,10.32131525,887.6331112,Standard,,Yes,Both,No,Tablet,11.23621057,37.07966082,24,Sci-Fi,2.628611966,8,Female,21,No,,FS3L3723G0,0,
80,12.99789303,1039.831443,Standard,Mailed check,No,Movies,No,Computer,22.69124874,179.5956049,45,Fantasy,3.49215553,5,Female,13,No,No,3OYMTQDGCI,0,
94,11.45367237,,,Electronic check,Yes,TV Shows,Yes,TV,31.4386719,125.9256078,37,Action,,1,Male,6,No,,PQ3OE3IV47,0,
93,19.65136143,1827.576613,Standard,Credit card,Yes,Movies,No,TV,1.653820167,143.17168,38,Comedy,3.755643537,8,Male,15,No,,959FN5DIWG,0,
95,,1731.9116,Standard,,No,Both,No,TV,15.76161768,71.32438099,1,Drama,2.001727096,4,Male,6,Yes,,76ILSKGTXV,0,
97,18.74136482,1817.912388,Standard,Credit card,Yes,Movies,Yes,TV,31.5282232,29.49199216,29,Drama,2.564017324,3,Male,14,Yes,,CCZLTRQXUN,0,
85,16.06581166,1365.593991,Standard,Credit card,Yes,Movies,No,,2.047874811,69.44470546,39,Drama,3.122885475,1,,16,No,,RW8BHOP2GW,1,
5,18.40124487,92.00622437,Basic,Bank transfer,Yes,TV Shows,No,Computer,36.19593219,122.3675915,26,Drama,4.521395915,3,Female,13,Yes,,NWRCRG0LLN,0,
104,9.660164387,,Basic,,No,Movies,Yes,Mobile,6.98320929,68.58594402,1,Fantasy,1.346854554,6,Female,5,No,No,0N2YDSLDKE,0,
96,11.31069689,1085.826901,Premium,Mailed check,No,TV Shows,Yes,TV,36.97431598,84.24406552,1,,3.604572632,6,Female,0,No,,8Y4EB81DID,0,
84,18.65108584,1566.69121,Standard,Bank transfer,No,Movies,Yes,TV,23.66546228,32.91343925,13,Action,3.942583409,5,Male,11,Yes,,W4D82JGRSR,1,
10,,,Standard,,Yes,Movies,Yes,Computer,19.86516822,77.53799118,34,Comedy,,7,Male,20,No,,86F5GYIU4B,0,
70,17.11669827,1198.168879,Basic,,Yes,TV Shows,No,Mobile,25.44657759,166.7288532,23,Comedy,4.436424584,0,Female,8,Yes,,GSY02BHXUI,0,
96,5.126881609,492.1806345,Premium,,Yes,Both,No,Computer,22.10971491,40.86941156,34,Drama,1.792938023,4,Female,19,No,,T5A5GUDGHH,0,
55,12.22852232,672.5687276,Basic,,No,Both,No,Computer,14.31867098,165.3747235,25,,3.131941212,7,Male,9,No,,JXCF0T7PWE,1,
109,8.024188057,874.6364982,Premium,,No,Both,No,Tablet,1.032565759,73.872435,28,Sci-Fi,,3,Female,17,Yes,,1SEDHZRPXU,0,
117,18.62572815,2179.210194,Standard,Electronic check,No,Both,No,Tablet,15.47408792,140.2754708,17,Sci-Fi,3.348487274,5,,15,No,,3KLVFZM7OJ,0,
74,9.040513991,668.9980353,Basic,Electronic check,No,Both,No,Computer,30.11386785,130.5407418,44,Sci-Fi,2.315737562,2,Male,10,No,,68ZNRI2572,0,
77,,,Standard,Credit card,Yes,TV Shows,No,Mobile,35.74416676,135.2417352,42,Fantasy,1.545109569,9,Male,3,No,,W813C4GC5Q,0,
74,9.687673669,716.8878515,Basic,Bank transfer,No,TV Shows,No,Computer,10.06328467,68.1579254,34,Action,,5,Male,14,No,,570S7DXPHT,1,
89,11.53894308,,Premium,Bank transfer,Yes,Both,Yes,Computer,12.59074548,171.2166008,19,Comedy,,7,Male,6,Yes,,UOVRUIE484,0,
110,13.27555667,1460.311234,Premium,Electronic check,Yes,TV Shows,No,TV,32.86360089,149.458285,35,Fantasy,2.462813066,6,Male,8,No,Yes,1QFYKNRAMM,0,
14,,268.3102572,Premium,Credit card,No,TV Shows,No,Mobile,31.44414096,111.654335,47,Sci-Fi,1.681603952,4,Male,10,No,,FKYXDCALD8,0,
63,,521.2231095,Premium,Bank transfer,Yes,Movies,No,Computer,27.96446805,8.537577247,4,Drama,,8,Male,3,No,,YFT2PG26WZ,0,
102,,1797.555246,Basic,Bank transfer,Yes,TV Shows,Yes,Mobile,32.71206052,92.83601561,46,Drama,1.257418012,6,Female,22,Yes,,CS2FZRYU8L,0,
45,13.07321556,588.2947004,Basic,Bank transfer,No,Both,Yes,Computer,14.79340292,109.2614244,20,Sci-Fi,2.086339036,1,Female,13,No,,XQ9ABXGKJ2,0,
59,12.16988764,718.0233709,Basic,Bank transfer,No,Movies,No,Computer,28.54828622,32.3272776,14,Fantasy,,1,Female,16,Yes,,2320A0GXKQ,1,
115,5.683634966,653.6180211,Standard,Electronic check,No,Movies,Yes,TV,6.128048068,50.25908308,0,Fantasy,1.794444317,4,Male,22,No,,MGW74TNB92,0,
99,17.85679111,,Standard,Electronic check,Yes,Both,No,Mobile,8.723655813,168.8003125,17,Action,4.456910703,9,Male,14,No,,V8CKCGJ5E8,0,
73,5.755528321,420.1535675,Basic,Mailed check,No,TV Shows,Yes,Mobile,26.87265849,121.8296205,40,Sci-Fi,2.26442864,4,Male,24,No,,S16BCT80VU,0,
